ACCEPT	Kabul Et.
YOU_CAN_DELETE_5TH_SPACE	5.Hesap
YOU_CAN_DELETE_6TH_SPACE	6.Hesap
ADD_EFFECT_TITLE	Kostüm Parlama Efekti
ADD_EFFECT_OK	Ekle
TASKBAR_DELETE_SELL	Hýzlý Sil/Sat
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. Envanter
AKIRAEVENT_WINDOWTITLE01	Etkinlik Takvimi
AKIRAEVENT_TEXT01	#Gün
AKIRAEVENT_TEXT02	#Etkinlik
AKIRAEVENT_TEXT03	#Baþ. Saati
AKIRAEVENT_TEXT04	#Bitiþ Saati
AKIRAEVENT_TEXT05	Aktif Etkinlikler
AKIRAEVENT_TEXT06	Otomatik Etkinlikler
AKIRAEVENT_TEXT07	Nasýl Elde Edilir?
WONEXCHANGE_TITLE	Döviz Deðiþimi
WONEXCHANGE_TITLE_SELL	Won Sat
WONEXCHANGE_TITLE_BUY	Won Al
OPTION_FOV	3D Görüntüü
KEYCHANGE_AUTO_WINDOW	Otomatik Av
AUTO_AUTO_ATTACK	Saldýr
AUTO_AUTO_POSITION	Ýksirler
AUTO_AUTO_RANGE	Odak
AUTO_AUTO_SKILL	Beceriler
AUTO_CLEAR	Boþalt
AUTO_END	Dur
AUTO_OFF	Kapalý
AUTO_ON	Açýk
AUTO_POSITION_SETTING	Ýksirler
AUTO_SETTING	Ayarlar
AUTO_SKILL_SETTING	Beceriler
AUTO_START	Baþla
AUTO_TITLE	Otomatik Av
NEW_EXCHANGE_YOU	Sen 
ibrahim_sky1	Yatsý
ibrahim_sky2	Akþam Üstü
ibrahim_sky3	Gündoðumu 1
ibrahim_sky4	Güneþli
ibrahim_sky5	Karanlýk
ibrahim_sky6	Gün Batýmý
ibrahim_sky7	Gündoðumu 2
SKILL_COLOR_DEFAULT	Varsayýlan rengi kullan
CHATTING_SETTING_CANCLE	Ýptal
CHATTING_SETTING_CLEAR	Sýfýrla
CHATTING_SETTING_DEFAULT_TITLE	Sohbet
CHATTING_SETTING_DETAIL	Sistem Ayarlarý
CHATTING_SETTING_DICE	Zar
CHATTING_SETTING_DICE_SETTING	Zar Ayarlarý
CHATTING_SETTING_EXP	Tecrübe Bilgisi
CHATTING_SETTING_GOLD	Yang Bilgisi
CHATTING_SETTING_GUILD	Lonca Sohbeti
CHATTING_SETTING_ITEM	Eþya Bilgisi
CHATTING_SETTING_LANGUAGE_1	Language 1
CHATTING_SETTING_LANGUAGE_2	Language 2
CHATTING_SETTING_LANGUAGE_3	Language 3
CHATTING_SETTING_LANGUAGE_CUR	Current language ( %s )
CHATTING_SETTING_LANGUAGE_ONOFF	Filter
CHATTING_SETTING_LIST	List
CHATTING_SETTING_NOTICE	Mesaj Bilgilendirmesi
CHATTING_SETTING_PARTY	Grup Sohbet
CHATTING_SETTING_SAVE	Kaydet
CHATTING_SETTING_SHOUT	Baðýrma
CHATTING_SETTING_SYSTEM	Sistem Bilgilendirmesi
CHATTING_SETTING_TABNAME	Chat name settings
CHATTING_SETTING_TALKING	Genel Sohbet
CHATTING_SETTING_TITLE	Chat Ayarlarý
KILL_STATISTICS_TITLE	Kill Statistics
KILL_STATISTICS_PVP_TITLE	PvP Free Statistics
KILL_STATISTICS_PVPD_TITLE	PvP Duel Statistics
KILL_STATISTICS_PVM_TITLE	PvM Statistics
KILL_STATISTICS_JINNO	Jinno Kingdom
KILL_STATISTICS_SHINSOO	Shinsoo Kingdom
KILL_STATISTICS_CHUNJO	Chunjo Kingdom
KILL_STATISTICS_TOTAL	Total kills
KILL_STATISTICS_TOTAL_D	Total deaths
KILL_STATISTICS_KD	Kill/Dead Quote
KILL_STATISTICS_DUELS_TOTAL	Duels total
KILL_STATISTICS_DUELS_W	Duels won
KILL_STATISTICS_DUELS_L	Duels lost
KILL_STATISTICS_BOSSES	Bosses
KILL_STATISTICS_STONES	Stones
