ITEMÎ≤àÌò∏	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	FLAG	ITEM_WEAR	IMMUNE	ÏÉÅÏ†ê ÌåêÎß§Í∞Ä	ÏÉÅÏ†êÏóêÏÑú ÏÇ¥ Îïå	REFINE	REFINESET	MAGIC_PCT	LIMIT_TYPE0	LIMIT_VALUE0	LIMIT_TYPE1	LIMIT_VALUE1	ADDON_TYPE0	ADDON_VALUE0	ADDON_TYPE1	ADDON_VALUE1	ADDON_TYPE2	ADDON_VALUE2	ADDON_TYPE3	ADDON_VALUE3	ADDON_TYPE4	ADDON_VALUE4	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4	VALUE5	Specular	SOCKET	ATTU_ADDON	MASK_ITEM_TYPE	MASK_ITEM_SUBTYPE
21518	item_name_21518	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21519	45	15	LEVEL	21	LIMIT_NONE	0	APPLY_NONE	9	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	9	0	0	0	24	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21519	item_name_21519	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	0	0	15	LEVEL	21	LIMIT_NONE	0	APPLY_NONE	10	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	9	0	0	0	28	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21520	item_name_21520	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21521	343	15	LEVEL	41	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	0	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21521	item_name_21521	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21522	344	15	LEVEL	41	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	2	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21522	item_name_21522	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21523	345	15	LEVEL	41	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	4	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21523	item_name_21523	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21524	346	15	LEVEL	41	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	6	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21524	item_name_21524	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21525	347	15	LEVEL	41	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	8	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21525	item_name_21525	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21526	348	15	LEVEL	41	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	13	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21526	item_name_21526	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21527	349	15	LEVEL	41	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	18	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21527	item_name_21527	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_SELL | ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21528	350	15	LEVEL	41	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	23	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21528	item_name_21528	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_SELL | ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21529	351	15	LEVEL	41	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	28	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21529	item_name_21529	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_SELL | ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21530	3050	15	LEVEL	41	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	33	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21530	item_name_21530	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21531	2634	15	LEVEL	60	LEVEL	0	APPLY_BLOCK	1	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	2	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21531	item_name_21531	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21532	2635	15	LEVEL	60	LEVEL	0	APPLY_BLOCK	2	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	4	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21532	item_name_21532	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21533	2636	15	LEVEL	60	LEVEL	0	APPLY_BLOCK	3	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	6	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21533	item_name_21533	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21534	2637	15	LEVEL	60	LEVEL	0	APPLY_BLOCK	4	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	8	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21534	item_name_21534	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21535	2638	15	LEVEL	60	LEVEL	0	APPLY_BLOCK	5	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	13	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21535	item_name_21535	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21536	2639	15	LEVEL	60	LEVEL	0	APPLY_BLOCK	6	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	18	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21536	item_name_21536	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_SELL | ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21537	2640	15	LEVEL	60	LEVEL	0	APPLY_BLOCK	7	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	23	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21537	item_name_21537	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_SELL | ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21538	2641	15	LEVEL	60	LEVEL	0	APPLY_BLOCK	8	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	28	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21538	item_name_21538	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_SELL | ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21539	2642	15	LEVEL	60	LEVEL	0	APPLY_BLOCK	9	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	33	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21539	item_name_21539	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_SELL | ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	0	0	15	LEVEL	60	LEVEL	0	APPLY_BLOCK	10	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	38	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21540	item_name_21540	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21541	2643	15	LEVEL	80	LEVEL	0	APPLY_DODGE	1	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	4	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21541	item_name_21541	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21542	2644	15	LEVEL	80	LEVEL	0	APPLY_DODGE	2	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	6	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21542	item_name_21542	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21543	2645	15	LEVEL	80	LEVEL	0	APPLY_DODGE	3	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	8	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21543	item_name_21543	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21544	2646	15	LEVEL	80	LEVEL	0	APPLY_DODGE	4	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	13	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21544	item_name_21544	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21545	2647	15	LEVEL	80	LEVEL	0	APPLY_DODGE	5	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	18	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21545	item_name_21545	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_SELL | ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21546	2648	15	LEVEL	80	LEVEL	0	APPLY_DODGE	6	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	23	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21546	item_name_21546	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_SELL | ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21547	2649	15	LEVEL	80	LEVEL	0	APPLY_DODGE	7	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	28	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21547	item_name_21547	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_SELL | ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21548	2650	15	LEVEL	80	LEVEL	0	APPLY_DODGE	8	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	33	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21548	item_name_21548	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_SELL | ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	21549	2651	15	LEVEL	80	LEVEL	0	APPLY_DODGE	10	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	38	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
21549	item_name_21549	ITEM_ARMOR	ARMOR_HEAD	1	ANTI_SELL | ANTI_MUDANG | ANTI_SURA | ANTI_ASSASSIN | ANTI_MUSA	ITEM_TUNABLE	WEAR_HEAD	NONE	0	0	0	0	15	LEVEL	80	LEVEL	0	APPLY_DODGE	12	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	13	0	0	0	43	0	3	0	MASK_ITEM_TYPE_EQUIPMENT_ARMOR	MASK_ITEM_SUBTYPE_ARMOR_ARMOR_HEAD
22000	±Õ»Ø∫Œ	ITEM_USE	USE_TALISMAN	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_STACK | ANTI_MYSHOP	ITEM_STACKABLE | QUEST_GIVE	NONE		200	200	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	1	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
22001	±Õ»Ø∫Œ	ITEM_USE	USE_TALISMAN	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_STACK | ANTI_MYSHOP	ITEM_STACKABLE | QUEST_GIVE	NONE		200	200	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	1	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
22010	±Õ»Ø±‚æÔ∫Œ	ITEM_USE	USE_TALISMAN	1	NONE	ITEM_STACKABLE | QUEST_GIVE	NONE		1000000	600	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	2	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
22011	±Õ»Ø±‚æÔ∫Œ	ITEM_USE	USE_TALISMAN	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_STACK | ANTI_MYSHOP	ITEM_STACKABLE | QUEST_GIVE	NONE		600	600	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	2	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
22020	¿ßƒ°±‚æÔ∫Œ	ITEM_USE	USE_TALISMAN	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_STACK | ANTI_MYSHOP	ITEM_STACKABLE	NONE		300	300	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	2	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
22030	¿Ãµø∫Œ	ITEM_USE	USE_TALISMAN	1	NONE	ITEM_STACKABLE	NONE		300	300	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	2	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
22040	ª˝∏Ì∫Œ	ITEM_USE	USE_TALISMAN	1	NONE	ITEM_STACKABLE	NONE		100	100	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	3	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
22050	»Øª˝∫Œ	ITEM_USE	USE_TALISMAN	1	NONE	ITEM_STACKABLE	NONE		100	100	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	4	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
25040	√‡∫π¿« º≠	ITEM_USE	USE_TUNING	1	NONE	ITEM_STACKABLE	NONE		0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
25041	«ˆ√∂	ITEM_USE	USE_TUNING	1	NONE	ITEM_STACKABLE	NONE	NONE	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	1	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
25042	«ˆ√∂	ITEM_USE	USE_TUNING	1	NONE	ITEM_STACKABLE	NONE	NONE	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	7	1	25	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
25043	«ˆ√∂	ITEM_USE	USE_TUNING	1	NONE	ITEM_STACKABLE	NONE	NONE	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	7	1	100	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
25100	»Ìøµº≠	ITEM_USE	USE_DETACHMENT	1	NONE	NONE	NONE		0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	3	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_TUNING	MASK_ITEM_SUBTYPE_TUNING_ETC
27001	ª°∞£π∞æ‡(º“)	ITEM_USE	USE_POTION	1	NONE	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE		32	30	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	300	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
27002	ª°∞£π∞æ‡(¡ﬂ)	ITEM_USE	USE_POTION	1	NONE	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE		96	90	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	800	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
27003	ª°∞£π∞æ‡(¥Î)	ITEM_USE	USE_POTION	1	NONE	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE		160	150	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	1200	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
27004	∆ƒ∂ıπ∞æ‡(º“)	ITEM_USE	USE_POTION	1	NONE	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE		96	120	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	100	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
27005	∆ƒ∂ıπ∞æ‡(¡ﬂ)	ITEM_USE	USE_POTION	1	NONE	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE		288	360	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	250	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
27006	∆ƒ∂ıπ∞æ‡(¥Î)	ITEM_USE	USE_POTION	1	NONE	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE		480	700	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	400	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
27051	¿‘πÆ¿⁄øÎ ª°∞£π∞æ‡(º“)	ITEM_USE	USE_POTION	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_MYSHOP | ANTI_SAFEBOX	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE		0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	300	0	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
27052	¿‘πÆ¿⁄øÎ ∆ƒ∂ıπ∞æ‡(º“)	ITEM_USE	USE_POTION	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_MYSHOP | ANTI_SAFEBOX	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE		0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	100	0	0	0	0	0	0	0	MASK_ITEM_TYPE_NONE	0
27053	¿‘πÆ¿⁄øÎ ≥Ïªˆπ∞æ‡(º“)	ITEM_USE	USE_ABILITY_UP	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_MYSHOP | ANTI_SAFEBOX	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE		0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	7	600	10	0	0	0	0	0	0	MASK_ITEM_TYPE_FISHING_PICK	MASK_ITEM_SUBTYPE_FISHING_PICK_FOOD
